company_id,snapshot_url,phrase,snippet,checked_at
forcyte-biotechnologies,https://web.archive.org/web/20260128/http://forcytebio.com/,,,2026-07-17 06:33:18.704806
gait,https://web.archive.org/web/20250528/http://getgait.com/,,,2026-07-17 06:33:23.210663
galaxy,https://web.archive.org/web/20260528/http://launchpointhq.com/,,,2026-07-17 06:33:29.122577
gigs-live,https://web.archive.org/web/20220128/http://gigs.live/,,,2026-07-17 06:33:34.705061
glimmer,https://web.archive.org/web/20260228/http://withglimmer.com/,,,2026-07-17 06:33:39.297205
gobillion,https://web.archive.org/web/20251228/http://gobillion.co/,,,2026-07-17 06:33:44.467435
gobuild-fka-brick,https://web.archive.org/web/20251228/http://go.build/,,,2026-07-17 11:44:15.136314
gonddo,https://web.archive.org/web/20220828/http://gonddo.com.br/,,,2026-07-17 06:44:21.955299
goodcourse,https://web.archive.org/web/20251028/http://goodcourse.co/,,,2026-07-17 06:44:26.30919
grai,https://web.archive.org/web/20251128/http://grai.io/,,,2026-07-17 06:44:31.544408
greentally,https://web.archive.org/web/20260128/http://greentally.ai/,,,2026-07-17 11:44:19.120502
hedgehog,https://web.archive.org/web/20260228/http://hedgehog.app/,,,2026-07-17 06:52:21.540171
heimdal,https://web.archive.org/web/20260428/http://heimdalccu.com/,,,2026-07-17 06:52:25.977638
homeflow,https://web.archive.org/web/20250628/http://homeflow.me/,,,2026-07-17 06:52:29.870405
huddlefire,https://web.archive.org/web/20220828/http://huddlefire.com/,,,2026-07-17 06:52:34.828887
hyperseed,https://web.archive.org/web/20231228/http://hyperseed.com/,,,2026-07-17 07:10:45.822401
ilumadata,https://web.archive.org/web/20250228/http://ilumadata.io/,,,2026-07-17 11:44:54.044604
indexical,https://web.archive.org/web/20251128/http://indexical.dev/,,,2026-07-17 07:19:25.848223
integration-labs,https://web.archive.org/web/20250228/http://integrationlabs.co/,,,2026-07-17 07:19:31.073012
interlock,https://web.archive.org/web/20230928/http://tryinterlock.com/,,,2026-07-17 07:19:35.491367
invaria,https://web.archive.org/web/20260528/http://invaria.com/,,,2026-07-17 07:19:40.1488
invoid,https://web.archive.org/web/20230528/http://invoid.co/,,,2026-07-17 07:19:45.309418
ivella,https://web.archive.org/web/20260428/http://ivella.com/,,,2026-07-17 07:19:50.237107
jasmine-energy,https://web.archive.org/web/20260628/http://jasmine.energy/,,,2026-07-17 07:19:56.413728
joinsub,https://web.archive.org/web/20260528/http://joinsub.com/,,,2026-07-17 07:20:01.365429
june,https://web.archive.org/web/20260728/http://june.so/,,,2026-07-17 07:20:05.965913
jupe,https://web.archive.org/web/20260728/http://jupe.com/,,,2026-07-17 07:20:11.708729
k-scale-labs,https://web.archive.org/web/20260428/http://kscale.dev/,,,2026-07-17 07:20:19.21797
kable,https://web.archive.org/web/20260528/http://kable.io/,,,2026-07-17 07:20:24.029813
kindamagical,https://web.archive.org/web/20260528/http://kindamagical.com/,,,2026-07-17 07:20:28.843252
kodda,https://web.archive.org/web/20250928/http://kodda.com/,,,2026-07-17 07:20:34.682501
krab,https://web.archive.org/web/20250928/http://krab.in/,,,2026-07-17 07:20:41.526483
lantern-2,https://web.archive.org/web/20260528/http://lantern.dev/,,,2026-07-17 07:20:47.249624
launcher-labs,https://web.archive.org/web/20260528/http://launchcaster.xyz/,joining forces with,"Launchcaster - Discover the best new Web3 projects projects newsletter new launch log in 🍔 launchcaster weekly subscribe to get the best new Web3 projects delivered to your inbox. subscribe our subscribers we&#x27;re joining forces with Orange DAO! trending top new 1 Mobile interface update @upelsin.mapat 1d news 1 Free tiles for early birds @upelsin.mapat 3d launch 1 Sonic Labs Commits $1M to $S Buyback While Pushing AI-Powered dApp Development @coinplurk 1w news 1 Free pets and Animals Classified | United States. @jananidevi321 1w launch 497 FLOC* Onchain-Kit - Design Solution for MiniApps and Community Building @floc 7mo launch 11.4k Farcaster Frames Frenz",2026-07-17 07:21:24.946086
lavo-life-sciences,https://web.archive.org/web/20260228/http://lavo.ai/,,,2026-07-17 07:21:29.158654
layup,https://web.archive.org/web/20260628/http://layuplabs.ai/,,,2026-07-17 07:21:36.347748
leafpress,https://web.archive.org/web/20260428/http://trycardinal.ai/,,,2026-07-17 07:21:41.921342
levo,https://web.archive.org/web/20230328/http://levo.mx/,,,2026-07-17 07:21:47.573362
lifecast,https://web.archive.org/web/20251028/http://lifecastvr.com/,,,2026-07-17 07:21:52.299895
lilac-labs,https://web.archive.org/web/20250628/http://drive-thru.ai/,,,2026-07-17 07:21:57.199549
line-build,https://web.archive.org/web/20240628/http://line.build/,,,2026-07-17 07:22:02.523505
lobby,https://web.archive.org/web/20240428/http://uselobby.com/,,,2026-07-17 07:22:06.742077
lotus,https://web.archive.org/web/20251128/http://uselotus.io/,,,2026-07-17 07:22:11.30763
lovd,https://web.archive.org/web/20250228/http://lovd.com/,,,2026-07-17 07:22:15.427287
luca,https://web.archive.org/web/20260328/http://askluca.com/,,,2026-07-17 07:22:20.230047
lunatic,https://web.archive.org/web/20260528/http://lunatic.solutions/,,,2026-07-17 07:22:28.863992
lynx,https://web.archive.org/web/20251128/http://uselynx.ai/,,,2026-07-17 07:22:33.364879
lysto,https://web.archive.org/web/20251128/http://lysto.ai/,,,2026-07-17 07:22:37.817728
magic-2,https://web.archive.org/web/20260528/http://joinmagic.com/,,,2026-07-17 07:22:42.257567
magicflow,https://web.archive.org/web/20260128/http://magicflow.ai/,,,2026-07-17 07:22:46.457993
manatee,https://web.archive.org/web/20251128/http://trymanatee.com/,,,2026-07-17 07:22:50.466686
mango-health,https://web.archive.org/web/20250928/http://themangohealth.com/,,,2026-07-17 07:22:55.1414
mantlebio,https://web.archive.org/web/20260328/http://mantlebio.com/,,,2026-07-17 07:22:59.744976
marathon-education,https://web.archive.org/web/20260528/http://marathon.edu.vn/,,,2026-07-17 07:23:05.093677
meetanyway,https://web.archive.org/web/20250328/http://meetanyway.com/,,,2026-07-17 07:23:09.984685
membo,https://web.archive.org/web/20260228/http://membo.ee/,,,2026-07-17 07:23:14.940956
mentorcam,https://web.archive.org/web/20260328/http://mentor.cam/,,,2026-07-17 07:23:21.317891
mercator,https://web.archive.org/web/20260528/http://mercator.tech/,,,2026-07-17 07:23:26.038686
micro-meat,https://web.archive.org/web/20230628/http://micromeat.com/,,,2026-07-17 07:24:08.84339
milk-video,https://web.archive.org/web/20260428/http://milkvideo.com/,,,2026-07-17 07:24:14.93144
milky-way-ai,https://web.archive.org/web/20260528/http://milkyway.ai/,,,2026-07-17 07:24:20.022471
mindmesh,https://web.archive.org/web/20260528/http://mindmesh.com/,,,2026-07-17 07:24:25.901328
mindportal,https://web.archive.org/web/20260328/http://mindportal.com/,acquired by,"al in the Press → Our Backers Y Combinator Silicon Valley's leading technology accelerator 7Percent Ventures Deep tech venture capital fund Learn Capital $1B+ venture fund focused on frontier innovation James Park Founder &amp; Former CEO of Fitbit (acquired by Google for $2.1B) Julie Zhuo Former VP of Design at Facebook/Meta, Co-founder of Sundial Matt Bellamy 2x Grammy Award winning rockstar, Frontman of Muse The Future is Thought-based Interfaces Thought-driven technology is the inevitable way in which humans will interact with AI. We’ve built powerful proof that this future is possible now, and coming soon. Find out more: Contact Us →",2026-07-17 07:24:31.414775
