company_id,event_date,event_type,detail,source,source_url
aminoanalytica,2024-05-17,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/aminoanalytica
amulet,2026-07-07,yc_listed,Listed in YC directory (Summer 2026),yc,https://www.ycombinator.com/companies/amulet
amulet,2026-03-12,funding,"Form D filed ($757,973 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1684003/000168400326000004/primary_doc.xml
amulet,2023-02-03,funding,Form D filed,sec_edgar,https://www.sec.gov/Archives/edgar/data/1962504/000137647423000091/primary_doc.xml
anakin,2021-07-03,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/anakin
anana,2025-05-29,yc_listed,Listed in YC directory (Spring 2025),yc,https://www.ycombinator.com/companies/anana
ananya-health,2021-07-05,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/ananya-health
ananya-health,2025-04-16,funding,"Form D filed ($200,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/2064779/000114036125014017/primary_doc.xml
ananya-health,2026-05-15,funding,"Form D filed ($404,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/2064779/000114036126021530/primary_doc.xml
anara,2024-05-13,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/anara
ancana,2021-06-29,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/ancana
anchor,2022-08-10,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/anchor
andco,2026-04-29,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/andco
andi,2022-01-24,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/andi
andon-labs,2023-11-07,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/andon-labs
andromeda-surgical,2023-05-19,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/andromeda-surgical
andson-biotech,2022-02-09,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/andson-biotech
andustry,2026-03-19,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/andustry
andy-ai,2024-02-08,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/andy-ai
anfin,2021-12-06,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/anfin
anglera,2024-07-01,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/anglera
angstrom-ai,2024-06-25,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/angstrom-ai
anima,2021-02-23,yc_listed,Listed in YC directory (Winter 2021),yc,https://www.ycombinator.com/companies/anima
anja-health,2022-02-08,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/anja-health
ankr-health,2022-03-07,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/ankr-health
anoria,2026-05-05,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/anoria
answerthis,2025-09-27,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/answerthis
anthrogen,2024-06-07,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/anthrogen
antigen,2025-10-09,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/antigen
anto-biosciences,2025-10-31,yc_listed,Listed in YC directory (Fall 2025),yc,https://www.ycombinator.com/companies/anto-biosciences
antwalk,2022-03-21,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/antwalk
antwalk,2022-04-20,funding,"Form D filed ($7,531,418 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1923826/000192382622000001/primary_doc.xml
anythingllm,2022-05-18,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/anythingllm
aoa-dx-inc,2021-06-21,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/aoa-dx-inc
aoa-dx-inc,2024-12-19,funding,"Form D filed ($1,845,060 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992024000001/primary_doc.xml
aoa-dx-inc,2021-07-07,funding,"Form D filed ($2,500,000 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992021000001/primary_doc.xml
aoa-dx-inc,2023-07-26,funding,"Form D filed ($23,611,721 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992023000001/primary_doc.xml
aoa-dx-inc,2021-11-18,funding,"Form D filed ($2,639,450 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992021000002/primary_doc.xml
aoa-dx-inc,2025-10-15,funding,"Form D filed ($8,085,364 sold)",sec_edgar,https://www.sec.gov/Archives/edgar/data/1869920/000186992025000002/primary_doc.xml
apolink,2024-10-02,yc_listed,Listed in YC directory (Fall 2024),yc,https://www.ycombinator.com/companies/apolink
apollo-2,2021-08-06,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/apollo-2
apollo-3,2022-03-14,yc_listed,Listed in YC directory (Winter 2022),yc,https://www.ycombinator.com/companies/apollo-3
apollo-atomics-inc,2026-05-22,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/apollo-atomics-inc
apoxy,2023-07-25,yc_listed,Listed in YC directory (Summer 2023),yc,https://www.ycombinator.com/companies/apoxy
apply-design,2022-06-21,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/apply-design
approxima,2026-01-05,yc_listed,Listed in YC directory (Winter 2026),yc,https://www.ycombinator.com/companies/approxima
appx,2021-06-25,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/appx
apten,2024-05-15,yc_listed,Listed in YC directory (Summer 2024),yc,https://www.ycombinator.com/companies/apten
aqua,2021-08-23,yc_listed,Listed in YC directory (Summer 2021),yc,https://www.ycombinator.com/companies/aqua
aqua-voice,2024-03-22,yc_listed,Listed in YC directory (Winter 2024),yc,https://www.ycombinator.com/companies/aqua-voice
aquashield,2026-05-17,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/aquashield
ara,2026-04-02,yc_listed,Listed in YC directory (Spring 2026),yc,https://www.ycombinator.com/companies/ara
aragorn-ai,2022-06-28,yc_listed,Listed in YC directory (Summer 2022),yc,https://www.ycombinator.com/companies/aragorn-ai
