company_id,story_id,title,url,points,num_comments,created_at,matched_query
interlock,46937844,Interlock (Engineering),https://en.wikipedia.org/wiki/Interlock_(engineering),24,8,2026-02-08 14:51:01,"""Interlock"""
interlock,24854169,"Simple Software Creates Complex Wooden Joints That Interlock with No Nails, Glue",https://scitechdaily.com/simple-software-creates-complex-wooden-joints-that-interlock-with-no-nails-glue-or-tools-needed/,24,2,2020-10-21 21:50:27,"""Interlock"""
interlock,41564481,PC Floppy Copy Protection: Electronic Arts Interlock,https://martypc.blogspot.com/2024/09/pc-floppy-copy-protection-electronic.html,5,0,2024-09-17 01:36:35,"""Interlock"""
jupe,37886420,Jupe: Off-grid shelters that pop up anywhere on Earth,https://www.jupe.com/get-jupe,116,152,2023-10-14 22:47:03,"""Jupe"""
k-scale-labs,44456904,Launch HN: K-Scale Labs (YC W24) – Open-Source Humanoid Robots,"",233,95,2025-07-03 12:44:18,"""K-Scale Labs"""
k-scale-labs,44023680,"K-Scale Labs: Open-source humanoid robots, built for developers",https://www.kscale.dev/,142,61,2025-05-18 15:16:41,"""K-Scale Labs"""
kable,30627558,Launch HN: Kable (YC W22) – All-in-one platform for API products,"",193,79,2022-03-10 09:52:39,"""Kable"""
lantern-2,37499375,Show HN: Lantern – a PostgreSQL vector database for building AI applications,https://docs.lantern.dev/blog/2023/09/13/hello-world,196,43,2023-09-13 13:41:58,"""Lantern"""
lantern-2,38844945,90x Faster Than Pgvector – Lantern's HNSW Index Creation Time,https://lantern.dev/blog/hnsw-index-creation,109,36,2024-01-02 13:21:03,"""Lantern"""
lantern-2,20679964,Launch HN: Lazy Lantern (YC S19) – Detect Meaningful Patterns in Your Analytics,"",63,6,2019-08-12 17:00:47,"""Lantern"""
lifecast,30675861,Launch HN: Lifecast (YC W22) – 3D video for VR,"",87,36,2022-03-14 14:11:01,"""Lifecast"""
lifelike,40071858,VASA-1: Lifelike audio-driven talking faces generated in real time,https://www.microsoft.com/en-us/research/project/vasa-1/,341,157,2024-04-17 20:55:34,"""Lifelike"""
lifelike,19680957,Engineers create ‘lifelike’ material with artificial metabolism,https://news.cornell.edu/stories/2019/04/engineers-create-lifelike-material-artificial-metabolism,147,51,2019-04-17 05:14:12,"""Lifelike"""
lifelike,13123257,Amazon Polly – Lifelike Text-To-Speech,https://aws.amazon.com/polly/,137,100,2016-12-07 10:37:09,"""Lifelike"""
lifelike,20652341,"Disney Research Makes Dynamic Robots Less Wiggly, More Lifelike",https://spectrum.ieee.org/automaton/robotics/robotics-hardware/disney-research-dynamic-robotic-characters,93,19,2019-08-09 04:36:08,"""Lifelike"""
lifelike,31416088,"The lifelike Fayum mummy portraits of Roman Egypt, 100 BC-200 AD",https://rarehistoricalphotos.com/fayum-portraits-roman-egypt-photos/,26,3,2022-05-17 16:46:06,"""Lifelike"""
lifelike,16084826,"For the Living, a Donated Face, For the Dead, a Lifelike Replacement",https://www.nytimes.com/2018/01/05/nyregion/face-transplant-3-d-printed-mask-donor-nyu.html,16,7,2018-01-06 06:37:13,"""Lifelike"""
lifelike,40514029,Sonic: A Low-Latency Voice Model for Lifelike Speech,https://cartesia.ai/blog/sonic,16,2,2024-05-29 12:48:41,"""Lifelike"""
lifelike,15288654,Lifelike Robots Possible with New “3x Stronger Than Human” Synthetic Soft Muscle,https://www.inverse.com/article/36557-soft-robots-synthetic-muscle,12,2,2017-09-19 16:46:05,"""Lifelike"""
lifelike,26584316,Scientists create a lifelike material that has metabolism and can self-reproduce,https://bigthink.com/surprising-science/scientists-create-a-lifelike-material-that-has-metabolism-and-can-self-reproduce,12,0,2021-03-25 15:23:47,"""Lifelike"""
lifelike,44667484,People Are Buying $8k Lifelike Baby Dolls,https://www.wsj.com/style/reborn-baby-dolls-of-the-world-expo-greensboro-cf5e5b0d,8,4,2025-07-24 02:10:46,"""Lifelike"""
lifelike,2373627,SmartBird: lifelike robot bird,http://www.youtube.com/watch?v=nnR8fDW3Ilo,8,0,2011-03-26 20:14:08,"""Lifelike"""
lifelike,35179833,Show HN: WebGL particle life – lifelike GPU accelerated particles,https://webgl-particle-life.netlify.app/,7,1,2023-03-16 05:29:01,"""Lifelike"""
lifelike,280309,Lifelike animation heralds new era for computer games,http://technology.timesonline.co.uk/tol/news/tech_and_web/article4557935.ece,7,0,2008-08-19 08:32:37,"""Lifelike"""
lifelike,24400895,"A nimble robot dog: Meet A1, a lifelike four-legged robot",https://twitter.com/XHNews/status/1302507328642543617,6,6,2020-09-07 13:19:56,"""Lifelike"""
lifelike,1074091,Physicists Discover Inorganic Dust With Lifelike Qualities (2007),http://www.sciencedaily.com/releases/2007/08/070814150630.htm,6,2,2010-01-24 19:47:49,"""Lifelike"""
lifelike,20204590,"Virtual Brand Promoters Are So Lifelike, You Just Might Believe What You See",https://www.nytimes.com/2019/06/17/business/media/miquela-virtual-influencer.html,6,0,2019-06-17 12:28:14,"""Lifelike"""
lifelike,3806067,"Darpa’s Next Grand Challenge: Build Us Lifelike, Humanoid Robots",http://www.wired.com/dangerroom/2012/04/darpa-humanoid-robots/,5,3,2012-04-06 01:04:38,"""Lifelike"""
lifelike,3771444,3 Lifelike HTML5 animated homepages,http://cambriausa.com/,5,2,2012-03-29 11:22:16,"""Lifelike"""
lifelike,28233669,Ultra-lifelike robot nurse unveiled,https://edition.cnn.com/2021/08/19/asia/grace-hanson-robotics-android-nurse-hnk-spc-intl/index.html,5,1,2021-08-19 09:38:00,"""Lifelike"""
lifelike,47180136,Banuba's AI Talking Photo API Turns Static Images into Lifelike Talking Videos,https://www.banuba.com/ai-talking-photo-api,5,0,2026-02-27 08:12:31,"""Lifelike"""
lobby,17410030,Launch HN: The  Lobby (YC W18) – 1-on-1 calls with company insiders to get hired,"",208,160,2018-06-27 13:23:51,"""Lobby"""
lumona,39867757,Launch HN: Lumona (YC W24) – Product search based on Reddit and YouTube reviews,"",148,128,2024-03-29 15:04:04,"""Lumona"""
lunatic,33799784,Lunatic is an Erlang-inspired runtime for WebAssembly,https://lunatic.solutions/,231,99,2022-11-30 07:33:02,"""Lunatic"""
lunatic,26367029,Launch HN: Lunatic (YC W21) – An Erlang Inspired WebAssembly Platform,"",162,39,2021-03-06 07:49:37,"""Lunatic"""
lunatic,28008737,Lunatic is an Erlang-inspired runtime for WebAssembly,https://lunatic.solutions/,131,40,2021-07-30 11:00:49,"""Lunatic"""
lunatic,48762508,Lunatic: An Erlang-inspired runtime for WebAssembly,https://lunatic.solutions/,15,4,2026-07-02 10:49:10,"""Lunatic"""
lunatic,26396298,Lunatic – An Erlang inspired runtime for all programming languages,https://lunatic.solutions/,11,0,2021-03-09 02:22:08,"""Lunatic"""
lunatic,26403879,Lunatic – An Erlang-Inspired Runtime for WebAssembly,https://lunatic.solutions/,6,2,2021-03-09 15:40:06,"""Lunatic"""
mercator,25104787,The True Size Of Countries: Mercator projection,https://thetruesize.com/,556,266,2020-11-15 16:00:42,"""Mercator"""
mercator,5186299,Mercator Puzzle,http://gmaps-samples.googlecode.com/svn/trunk/poly/puzzledrag.html,400,91,2013-02-07 23:33:21,"""Mercator"""
mercator,42783948,Mercator: Extreme,https://mrgris.com/projects/merc-extreme/,218,46,2025-01-21 14:00:03,"""Mercator"""
mercator,8850406,"Look, Ma, No More Mercator Tiles",http://vis4.net/blog/posts/no-more-mercator-tiles/,97,13,2015-01-07 08:42:41,"""Mercator"""
mercator,24304311,100 years to solve an integral: The history of the Mercator map,https://liorsinai.github.io/mathematics/2020/08/27/secant-mercator.html,77,40,2020-08-28 08:59:24,"""Mercator"""
mercator,9630875,Why Mercator for the Web?,https://www.mapthematics.com/forums/viewtopic.php?f=8&t=251,46,31,2015-05-30 13:24:10,"""Mercator"""
mercator,10453641,Escape from Mercator Maps,https://mapzen.com/blog/escape-from-mercator,30,4,2015-10-26 15:05:54,"""Mercator"""
mercator,44922333,African Union joins calls to end use of Mercator map that shrinks Africa's size,https://www.theguardian.com/world/2025/aug/15/african-union-true-size-world-map-replace-mercator-version,29,19,2025-08-16 07:35:08,"""Mercator"""
