company_id,round_type,announced_date,amount_usd,investors,source,source_url
cinder-2,form_d,2022-12-05,12755318,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1955803/000195580322000001/primary_doc.xml
circular,form_d,2021-12-10,1421289,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1897223/000189722321000001/primary_doc.xml
clay,form_d,2025-09-10,99999487,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000003/primary_doc.xml
clay,form_d,2025-01-30,39999919,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000001/primary_doc.xml
clay,form_d,2025-06-13,348540,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2053989/000205398925000002/primary_doc.xml
clear,form_d,2021-05-28,59999933,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1595806/000159580621000002/primary_doc.xml
clear,form_d,2020-05-19,39538382,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1595806/000159580620000002/primary_doc.xml
codingal,form_d,2021-04-15,22355,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1856920/000185692021000001/primary_doc.xml
cofactr,form_d,2024-10-15,17208303,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988324000001/primary_doc.xml
cofactr,form_d,2023-10-06,9091669,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988323000002/primary_doc.xml
cofactr,form_d,2021-08-24,112500,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1879883/000187988321000002/primary_doc.xml
complete,form_d,2020-03-06,100000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1710931/000171093120000003/primary_doc.xml
confido,form_d,2025-12-10,4460000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029111/000202911125000002/primary_doc.xml
confido,form_d,2024-07-10,1524998,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2029111/000202911124000001/primary_doc.xml
copycat,form_d,2024-01-19,80000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1918648/000191864824000001/primary_doc.xml
corgea,form_d,2023-06-14,175000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1981261/000198126123000001/primary_doc.xml
coverage-cat,form_d,2023-03-07,4000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1947379/000194737923000001/primary_doc.xml
coverage-cat,form_d,2022-09-22,1640000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1947379/000194737922000001/primary_doc.xml
craze,form_d,2022-08-31,500000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1944794/000110465922096188/primary_doc.xml
craze,form_d,2022-11-22,2219970,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1944794/000110465922121254/primary_doc.xml
cyble,form_d,2023-08-08,21489912,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1922682/000192268223000001/primary_doc.xml
devyce,form_d,2023-03-29,2609929,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1967123/000196712323000001/primary_doc.xml
dialect-2,form_d,2022-04-14,4959739,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1921628/000192162822000002/primary_doc.xml
diligencesquared-inc,form_d,2025-12-16,5405000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2100275/000210027525000001/primary_doc.xml
dioptra,form_d,2022-08-05,460000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1936498/000193649822000001/primary_doc.xml
disclo,form_d,2022-12-01,6750000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1951823/000110465922123600/primary_doc.xml
diversion,form_d,2022-06-02,7425000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1931650/000193165022000001/primary_doc.xml
djamo,form_d,2022-12-05,13436987,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239422000002/primary_doc.xml
djamo,form_d,2024-11-19,13010402,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239424000003/primary_doc.xml
djamo,form_d,2023-11-27,2050000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239423000002/primary_doc.xml
djamo,form_d,2024-03-07,3162000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1952394/000195239424000001/primary_doc.xml
docket,form_d,2023-10-03,5349992,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1994773/000199477323000001/primary_doc.xml
dyte,form_d,2021-06-30,3720826,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1869201/000186920121000001/primary_doc.xml
ellipsis,form_d,2021-07-30,0,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1572980/000157298021000001/primary_doc.xml
ember,form_d,2023-11-17,19611889,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1636781/000163678123000001/primary_doc.xml
emergent,form_d,2026-02-26,7999997,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2113336/000211333626000001/primary_doc.xml
epsilon,form_d,2021-12-30,11492770,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1899946/000189994621000001/primary_doc.xml
epsilon3-inc,form_d,2022-07-12,15000000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1936216/000193621622000001/primary_doc.xml
estoca,form_d,2022-12-23,2619996,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1959664/000195966422000002/primary_doc.xml
evidence,form_d,2021-09-30,75000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1884594/000188459421000001/primary_doc.xml
evidently-ai,form_d,2021-09-16,1024575,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1881982/000188198221000001/primary_doc.xml
examedi,form_d,2022-07-08,22499000,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1937324/000193732422000001/primary_doc.xml
exin-therapeutics,form_d,2026-02-10,2162300,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/2109179/000210917926000001/primary_doc.xml
extend,form_d,2021-10-13,17341359,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000004/primary_doc.xml
extend,form_d,2021-10-13,389517,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000005/primary_doc.xml
extend,form_d,2021-06-29,49999975,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000002/primary_doc.xml
extend,form_d,2022-02-08,20405184,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958222000001/primary_doc.xml
extend,form_d,2021-05-20,144639960,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000001/primary_doc.xml
extend,form_d,2020-09-11,40024983,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958220000003/primary_doc.xml
extend,form_d,2021-08-23,16304664,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1769582/000176958221000003/primary_doc.xml
fable,form_d,2021-12-21,14999989,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1900427/000156761921022358/primary_doc.xml
faction,form_d,2020-07-07,5015808,[],sec_edgar,https://www.sec.gov/Archives/edgar/data/1575761/000157576120000002/primary_doc.xml
